Tracking Number,Updates
770730866286,05/01/2025 12:00AM - Delivery updated - On the way at COLOGNE
771118264507,08/01/2025 11:11AM - On the way - Clearance in progress at MISSISSAUGA
771255652660,13/01/2025 11:38AM - Clearance Delay - Clearance delay at MISSISSAUGA - Details: Detailed broker information is required.
771438225896,"17/01/2025 09:42AM - Clearance Delay - Clearance delay at LILLESTROEM - Details: Shipment requires importer's registration/identification number for clearance. (Examples include EIN, SSN, VAT, GST, RFC, etc.)"
771811232583,04/02/2025 10:24AM - Delivery updated - Delivery exception at NORFOLK - Details: We have your package
771823962990,06/02/2025 08:52AM - Delivery updated - On the way at ROCHESTER
771685135417,"17/02/2025 12:42PM - Delivery exception - Delivery exception at KIRYAT ATA - Details: Return tracking number 772107824840 - Unable to deliver shipment, returned to shipper"
RT187583225SG,Error,Error,Error
772052103166,"05/03/2025 12:41AM - Delivery exception - Delivery exception at OAKLAND - Details: Return tracking number 817211413961 - Unable to deliver shipment, returned to shipper"
772426113540,04/03/2025 09:37PM - Clearance Delay - Clearance delay at OAKLAND - Details: In clearance process.
772428984915,04/03/2025 03:09AM - Clearance Delay - Clearance delay at OAKLAND - Details: A verification of the country of manufacture is required.
772468060870,15/03/2025 06:48AM - Delivery updated - At destination sort facility at MIAMI
772455668292,"06/03/2025 07:59PM - Clearance Delay - Clearance delay at TOLUCA - Details: Shipment requires importer's registration/identification number for clearance. (Examples include EIN, SSN, VAT, GST, RFC, etc.)"
7824909223,12/03/2025 03:19PM - Shipment is scheduled for delivery at LONDON - UK - Delivery has been rescheduled for a future date
772516289295,08/03/2025 01:09AM - Delivery updated - International shipment release at MEMPHIS
772489746406,15/03/2025 05:21PM - Delivery updated - At FedEx destination facility at MENLO PARK
772543520857,14/03/2025 04:38PM - Delivered - Delivered at GOSHEN
8338983962,"16/03/2025 06:40PM - Clearance Event    at CINCINNATI HUB - Ohio - USA - Shipment may contain personal effects, therefore specific customs processing may be required."
772583288138,14/03/2025 09:30AM - On the way - Clearance in progress at TACOMA
772584015887,11/03/2025 09:49AM - We have your package - Picked up at BRENTWOOD
772584314812,14/03/2025 04:53PM - Ready for pickup - Ready for pickup at CHINO
772587902435,11/03/2025 11:28PM - Clearance Delay - Clearance delay at OAKLAND - Details: Description provided is insufficient to classify commodity. | Manufacturer name and address or manufacturer identification code (MID) for each commodity required.
772588449697,16/03/2025 12:05PM - Delivered - Delivered at GAN YAVNE
772621566813,15/03/2025 09:08PM - Delivery updated - Departed FedEx location at NEWARK
772618170668,17/03/2025 11:18AM - Delivered - Delivered at BARANGAROO
772597893379,14/03/2025 10:09AM - Delivered - Delivered at BOCA RATON
772636334594,"13/03/2025 03:16AM - Clearance Delay - Clearance delay at MEMPHIS - Details: Shipment requires importer's registration/identification number for clearance. (Examples include EIN, SSN, VAT, GST, RFC, etc.)"
772612002300,16/03/2025 09:50AM - Delivery updated - At FedEx destination facility at NEW YORK
772623877936,14/03/2025 01:45PM - Delivered - Delivered at PHILADELPHIA
772623937052,14/03/2025 10:23AM - Delivered - Delivered at BIRMINGHAM
772622249359,17/03/2025 07:02AM - Out for delivery - On FedEx vehicle for delivery at SLIAC
772622168719,"12/03/2025 08:28AM - Clearance Delay - Clearance delay at MEMPHIS - Details: Shipment requires importer's registration/identification number for clearance. (Examples include EIN, SSN, VAT, GST, RFC, etc.)"
772655437466,14/03/2025 02:00PM - Delivered - Delivered at WICKFORD
4132620096,14/03/2025 02:39PM - Delivered at ORLANDO - Florida - USA - N/A
772657209280,14/03/2025 03:04PM - Delivered - Delivered at ABERDEEN
772656345354,17/03/2025 11:30AM - Delivered - Delivered at SELANGOR DARUL EHSAN
772622539058,14/03/2025 05:04PM - Delivered - Delivered at SOUTH PASADENA
772622673940,15/03/2025 10:18AM - Delivery updated - At FedEx destination facility at LOS ANGELES
772591416018,14/03/2025 04:16PM - Delivered - Delivered at RIVER VALLEY
772666372521,14/03/2025 06:21PM - On the way - At destination sort facility at SEATTLE
772666294177,14/03/2025 06:21PM - On the way - At destination sort facility at SEATTLE
772649643667,17/03/2025 02:45AM - Delivery updated - On the way at FORT LAUDERDALE
772665827412,14/03/2025 07:01PM - Delivery updated - At destination sort facility at MIAMI
772646382998,16/03/2025 11:34PM - On the way - On the way at FORT LAUDERDALE
772663968272,16/03/2025 02:48AM - Delivery updated - At destination sort facility at LOS ANGELES
772624100266,14/03/2025 10:58AM - Delivered - Delivered at KATY - Details: Delivered to recipient at FedEx Office
772624225490,14/03/2025 10:49AM - Delivered - Delivered at NEW YORK
772667474041,15/03/2025 01:34PM - Delivered - Delivered at SINGAPORE
772653230603,14/03/2025 06:52AM - On the way - On the way at MADRID - Details: Package available for clearance
772652981088,17/03/2025 06:25AM - Delivery updated - On the way at SAN FERNANDO DE HENARES
772651661390,14/03/2025 04:41PM - We tried to deliver - Delivery exception at POMPANO BEACH - Details: Customer not available or business closed - Customer not Available or Business Closed
772651714251,14/03/2025 04:41PM - We tried to deliver - Delivery exception at POMPANO BEACH - Details: Customer not available or business closed - Customer not Available or Business Closed
772657254591,14/03/2025 12:11PM - Delivered - Delivered at NEW YORK
772424095051,17/03/2025 12:11PM - Delivered - Delivered at TSIM SHA TSUI
772424224845,16/03/2025 03:15PM - Delivery updated - At destination sort facility at FORT LAUDERDALE
772655394404,15/03/2025 11:36AM - Delivered - Delivered at LOS ANGELES - Details: Delivered to recipient at FedEx Office
772670762970,17/03/2025 01:25PM - Out for delivery - On FedEx vehicle for delivery at SINGAPORE
772611757581,15/03/2025 11:37AM - Delivered - Delivered at JURONG WEST
3128672643,14/03/2025 01:04PM - Delivered at LEEDS - UK - N/A
772625445884,14/03/2025 10:44AM - Delivered - Delivered at CLINTON TOWNSHIP
772655293894,14/03/2025 03:25PM - Delivered - Delivered at SINGAPORE
7881662434,16/03/2025 11:08PM - Processed at LONDON-HEATHROW - UK at LONDON-HEATHROW - UK - N/A
772681095708,17/03/2025 04:48AM - On the way - At FedEx destination facility at BYFLEET
772684186933,17/03/2025 04:45AM - On the way - At FedEx destination facility at SLOUGH
772652141369,15/03/2025 09:17AM - Delivered - Delivered at TOKYO-SHIBUYA-KU
772648314828,17/03/2025 05:37AM - On the way - At FedEx destination facility at HORNSEY
